merciful | gracious, kindly, compassionate, forgiving, charitable
powerful | mighty, vigorous, forceful, energetic
beautiful | lovely, pretty, pleasing, graceful, appealing, charming
clever | wise, knowing, capable, smart, sharp, intelligent

beautiful | lovely, pretty, pleasing, graceful, appealing, charming

merciful | gracious, kindly, compassionate, forgiving, charitable
powerful | mighty, vigorous, forceful, energetic
beautiful | lovely, pretty, pleasing, graceful, appealing, charming
clever | wise, knowing, capable, smart, sharp, intelligent
glowing | luminous, vibrant, flaming, gleaming

merciful | gracious, kindly, compassionate, forgiving, charitable
powerful | mighty, vigorous, forceful, energetic
beautiful | lovely, pretty, pleasing, graceful, appealing, charming
glowing | luminous, vibrant, flaming, gleaming

merciful | gracious, kindly, compassionate, forgiving, charitable
powerful | mighty, vigorous, forceful, energetic, briliant
beautiful | lovely, pretty, pleasing, graceful, appealing, charming
glowing | luminous, vibrant, flaming, gleaming

merciful | gracious, kindly, compassionate, forgiving, charitable
powerful | mighty, vigorous, forceful, energetic, briliant
beautiful | lovely, pretty, pleasing, graceful, charming
glowing | luminous, vibrant, flaming, gleaming

beautiful | charming, graceful, lovely, pleasing, pretty
glowing | flaming, gleaming, luminous, vibrant
merciful | charitable, compassionate, forgiving, gracious, kindly
powerful | briliant, energetic, forceful, mighty, vigorous
